cell_id,col,row,centroid_x,centroid_y,centroid_lon,centroid_lat,crime_count,is_hotspot
57,9,4,625.0,375.0,-0.080168,51.517904,1147,1
20,8,1,375.0,-375.0,-0.083781,51.511159,578,1
29,5,2,-375.0,-125.0,-0.094619,51.513408,532,1
34,10,2,875.0,-125.0,-0.076555,51.513408,344,1
27,3,2,-875.0,-125.0,-0.101845,51.513408,323,1
55,7,4,125.0,375.0,-0.087394,51.517904,309,1
30,6,2,-125.0,-125.0,-0.091006,51.513408,294,1
22,10,1,875.0,-375.0,-0.076555,51.511159,266,1
40,4,3,-625.0,125.0,-0.098232,51.515656,234,1
44,8,3,375.0,125.0,-0.083781,51.515656,234,1
32,8,2,375.0,-125.0,-0.083781,51.513408,214,1
54,6,4,-125.0,375.0,-0.091006,51.517904,213,0
31,7,2,125.0,-125.0,-0.087394,51.513408,207,0
6,6,0,-125.0,-625.0,-0.091006,51.508911,190,0
18,6,1,-125.0,-375.0,-0.091006,51.511159,188,0
9,9,0,625.0,-625.0,-0.080168,51.508911,186,0
51,3,4,-875.0,375.0,-0.101845,51.517904,175,0
21,9,1,625.0,-375.0,-0.080168,51.511159,155,0
19,7,1,125.0,-375.0,-0.087394,51.511159,144,0
26,2,2,-1125.0,-125.0,-0.105458,51.513408,134,0
66,6,5,-125.0,625.0,-0.091006,51.520153,126,0
25,1,2,-1375.0,-125.0,-0.10907,51.513408,121,0
52,4,4,-625.0,375.0,-0.098232,51.517904,119,0
45,9,3,625.0,125.0,-0.080168,51.515656,116,0
35,11,2,1125.0,-125.0,-0.072942,51.513408,110,0
14,2,1,-1125.0,-375.0,-0.105458,51.511159,108,0
64,4,5,-625.0,625.0,-0.098232,51.520153,108,0
46,10,3,875.0,125.0,-0.076555,51.515656,104,0
65,5,5,-375.0,625.0,-0.094619,51.520153,101,0
8,8,0,375.0,-625.0,-0.083781,51.508911,100,0
50,2,4,-1125.0,375.0,-0.105458,51.517904,98,0
15,3,1,-875.0,-375.0,-0.101845,51.511159,94,0
17,5,1,-375.0,-375.0,-0.094619,51.511159,88,0
39,3,3,-875.0,125.0,-0.101845,51.515656,82,0
49,1,4,-1375.0,375.0,-0.10907,51.517904,66,0
77,5,6,-375.0,875.0,-0.094619,51.522401,66,0
41,5,3,-375.0,125.0,-0.094619,51.515656,66,0
33,9,2,625.0,-125.0,-0.080168,51.513408,66,0
48,0,4,-1625.0,375.0,-0.112683,51.517904,64,0
37,1,3,-1375.0,125.0,-0.10907,51.515656,61,0
43,7,3,125.0,125.0,-0.087394,51.515656,60,0
58,10,4,875.0,375.0,-0.076555,51.517904,58,0
23,11,1,1125.0,-375.0,-0.072942,51.511159,52,0
28,4,2,-625.0,-125.0,-0.098232,51.513408,52,0
13,1,1,-1375.0,-375.0,-0.10907,51.511159,48,0
76,4,6,-625.0,875.0,-0.098232,51.522401,48,0
42,6,3,-125.0,125.0,-0.091006,51.515656,36,0
16,4,1,-625.0,-375.0,-0.098232,51.511159,31,0
53,5,4,-375.0,375.0,-0.094619,51.517904,30,0
69,9,5,625.0,625.0,-0.080168,51.520153,27,0
10,10,0,875.0,-625.0,-0.076555,51.508911,23,0
63,3,5,-875.0,625.0,-0.101845,51.520153,18,0
36,0,3,-1625.0,125.0,-0.112683,51.515656,17,0
24,0,2,-1625.0,-125.0,-0.112683,51.513408,2,0
81,9,6,625.0,875.0,-0.080168,51.522401,2,0
