cell,month,y,roll3_mean,trend_1,prior_hotspot_freq,neigh_lag1_sum,osm_retail_density,osm_food_drink_density,osm_licensed_count,osm_transport_nodes,osm_road_density_m,centroid_lon,centroid_lat
0,2025-03,0,0.0,0,0.0,3,0.0,16.0,0,0,486.3832898619621,-0.112683,51.508911
1,2025-03,0,0.0,0,0.0,5,224.0,112.0,0,0,1743.4436845976547,-0.10907,51.508911
2,2025-03,0,0.0,0,0.0,9,0.0,32.0,2,2,2882.081028394153,-0.105458,51.508911
3,2025-03,0,0.0,0,0.0,8,64.0,16.0,0,2,1767.4705532699345,-0.101845,51.508911
4,2025-03,0,0.0,0,0.0,6,64.0,16.0,0,0,1693.9325757767406,-0.098232,51.508911
5,2025-03,0,0.0,0,0.0,28,0.0,64.0,0,1,2117.5008513630705,-0.094619,51.508911
6,2025-03,1,9.5,1,0.0,36,0.0,0.0,2,0,1274.0807724673782,-0.091006,51.508911
7,2025-03,0,0.0,0,0.0,92,48.0,64.0,1,3,4077.1109004234677,-0.087394,51.508911
8,2025-03,0,6.5,3,0.0,79,0.0,16.0,1,0,3515.835855448563,-0.083781,51.508911
9,2025-03,0,10.0,-4,0.5,83,64.0,240.0,4,2,4529.994665175652,-0.080168,51.508911
10,2025-03,0,2.0,-4,0.0,47,64.0,16.0,0,5,4919.100496102833,-0.076555,51.508911
11,2025-03,0,0.0,0,0.0,26,0.0,80.0,1,1,4698.820840322538,-0.072942,51.508911
12,2025-03,0,0.0,0,0.0,18,16.0,32.0,0,3,3394.742433326478,-0.112683,51.511159
13,2025-03,0,3.0,0,0.0,29,0.0,16.0,0,2,2656.724682326329,-0.10907,51.511159
14,2025-03,0,5.5,-7,0.0,62,0.0,32.0,0,3,5268.512014959823,-0.105458,51.511159
15,2025-03,0,7.0,-6,0.0,50,32.0,48.0,0,4,5270.596898603702,-0.101845,51.511159
16,2025-03,0,2.0,0,0.0,77,16.0,64.0,0,2,4825.660292603709,-0.098232,51.511159
17,2025-03,0,2.0,-4,0.0,85,16.0,96.0,1,3,5834.778735026155,-0.094619,51.511159
18,2025-03,0,13.0,6,0.5,96,48.0,176.0,4,5,5731.312320147181,-0.091006,51.511159
19,2025-03,0,15.5,9,0.5,115,80.0,224.0,7,12,6752.066155706512,-0.087394,51.511159
20,2025-03,1,40.5,-5,1.0,82,432.0,656.0,9,7,4463.054978279923,-0.083781,51.511159
21,2025-03,0,10.5,5,0.0,114,176.0,304.0,6,0,4254.493905766637,-0.080168,51.511159
22,2025-03,1,22.0,4,1.0,53,80.0,288.0,8,5,5202.287362615168,-0.076555,51.511159
23,2025-03,0,2.5,-1,0.0,51,16.0,32.0,1,2,4666.905253155827,-0.072942,51.511159
24,2025-03,0,0.5,1,0.0,26,48.0,80.0,2,1,3829.987626692085,-0.112683,51.513408
25,2025-03,0,12.0,4,0.0,27,96.0,192.0,1,3,4689.39736924572,-0.10907,51.513408
26,2025-03,0,11.0,2,0.0,64,128.0,112.0,6,4,5487.727279547419,-0.105458,51.513408
27,2025-03,1,22.0,14,1.0,60,112.0,96.0,0,5,5233.185372707451,-0.101845,51.513408
28,2025-03,0,5.5,-1,0.0,115,64.0,96.0,2,4,4639.396334071074,-0.098232,51.513408
29,2025-03,1,42.0,-6,1.0,75,144.0,336.0,4,6,5102.7979261949895,-0.094619,51.513408
30,2025-03,1,18.5,-11,0.5,103,80.0,112.0,1,12,5738.006812981806,-0.091006,51.513408
31,2025-03,1,13.0,2,0.5,129,512.0,208.0,9,13,6123.273570437473,-0.087394,51.513408
32,2025-03,0,13.0,6,0.5,122,416.0,384.0,7,7,3891.0455139649252,-0.083781,51.513408
33,2025-03,0,6.0,-6,0.0,146,16.0,64.0,9,2,4248.145542979366,-0.080168,51.513408
34,2025-03,1,12.5,9,0.5,72,144.0,256.0,6,7,5178.538239643103,-0.076555,51.513408
35,2025-03,0,10.5,-1,0.0,53,16.0,112.0,2,1,3626.7383133548465,-0.072942,51.513408
36,2025-03,0,1.0,0,0.0,31,48.0,112.0,5,0,4703.2065780459125,-0.112683,51.515656
37,2025-03,0,6.5,3,0.0,42,64.0,256.0,2,0,4705.21995689305,-0.10907,51.515656
38,2025-03,0,0.0,0,0.0,95,16.0,112.0,2,2,3771.463215003219,-0.105458,51.515656
39,2025-03,0,6.5,-5,0.0,105,32.0,64.0,0,5,4273.907879513262,-0.101845,51.515656
40,2025-03,1,22.5,17,1.0,108,128.0,176.0,2,10,4678.219288780764,-0.098232,51.515656
41,2025-03,0,4.5,3,0.0,113,16.0,96.0,3,0,5475.527626092632,-0.094619,51.515656
42,2025-03,0,2.0,0,0.0,104,16.0,128.0,2,1,4513.7437553354,-0.091006,51.515656
43,2025-03,0,5.5,1,0.0,86,48.0,192.0,3,1,2912.949272204903,-0.087394,51.515656
44,2025-03,1,14.5,7,0.5,158,144.0,192.0,7,7,3750.133321194052,-0.083781,51.515656
45,2025-03,0,7.0,6,0.0,171,48.0,320.0,5,3,5083.697337610419,-0.080168,51.515656
46,2025-03,0,8.0,4,0.0,147,144.0,304.0,6,1,4691.752992501009,-0.076555,51.515656
47,2025-03,0,0.0,0,0.0,44,80.0,128.0,0,4,3758.837858525135,-0.072942,51.515656
48,2025-03,0,2.0,0,0.0,15,144.0,176.0,1,7,3888.727359484263,-0.112683,51.517904
49,2025-03,0,4.0,4,0.0,17,256.0,112.0,2,4,4439.100510267371,-0.10907,51.517904
50,2025-03,0,5.5,1,0.0,35,32.0,16.0,2,8,5939.694871443936,-0.105458,51.517904
51,2025-03,0,13.0,6,0.5,56,16.0,0.0,1,1,4972.325388814089,-0.101845,51.517904
52,2025-03,0,6.5,-1,0.0,74,16.0,80.0,0,3,5059.336124728675,-0.098232,51.517904
53,2025-03,0,3.5,-1,0.0,80,16.0,0.0,1,2,4875.025974631033,-0.094619,51.517904
54,2025-03,0,11.0,6,0.0,39,0.0,48.0,1,2,5210.5716847500935,-0.091006,51.517904
55,2025-03,1,14.0,-10,0.5,48,176.0,144.0,1,9,5597.982707299784,-0.087394,51.517904
56,2025-03,0,0.0,0,0.0,143,384.0,400.0,1,13,5327.01444482606,-0.083781,51.517904
57,2025-03,1,89.5,21,1.0,45,288.0,672.0,9,7,4913.80540307647,-0.080168,51.517904
58,2025-03,0,4.0,6,0.0,120,272.0,304.0,1,0,5294.000726628905,-0.076555,51.517904
59,2025-03,0,0.0,0,0.0,17,176.0,272.0,2,4,3930.014179372386,-0.072942,51.517904
60,2025-03,0,0.0,0,0.0,8,48.0,64.0,0,5,4594.767339701483,-0.112683,51.520153
61,2025-03,0,0.0,0,0.0,14,512.0,192.0,1,0,5078.08719248086,-0.10907,51.520153
62,2025-03,0,0.0,0,0.0,29,80.0,48.0,1,6,5049.605136938941,-0.105458,51.520153
63,2025-03,0,0.5,1,0.0,38,16.0,80.0,3,0,4306.322758694907,-0.101845,51.520153
64,2025-03,0,7.0,2,0.0,35,112.0,64.0,1,7,6201.923166838686,-0.098232,51.520153
65,2025-03,0,5.0,0,0.0,43,0.0,48.0,0,1,4994.165696003506,-0.094619,51.520153
66,2025-03,0,10.5,-5,0.5,33,32.0,96.0,1,1,4465.674757182971,-0.091006,51.520153
67,2025-03,0,0.0,0,0.0,31,48.0,48.0,2,8,4362.68016660346,-0.087394,51.520153
68,2025-03,0,0.0,0,0.0,109,16.0,128.0,1,0,3949.988519273004,-0.083781,51.520153
69,2025-03,0,2.0,-4,0.0,107,32.0,128.0,3,4,4114.350392064077,-0.080168,51.520153
70,2025-03,0,0.0,0,0.0,107,144.0,224.0,1,1,4514.52220470101,-0.076555,51.520153
71,2025-03,0,0.0,0,0.0,7,208.0,128.0,3,1,3716.773322011593,-0.072942,51.520153
72,2025-03,0,0.0,0,0.0,0,224.0,96.0,3,3,5800.716006983319,-0.112683,51.522401
73,2025-03,0,0.0,0,0.0,0,128.0,144.0,3,2,6541.270475723095,-0.10907,51.522401
74,2025-03,0,0.0,0,0.0,1,48.0,96.0,0,3,4912.842911034941,-0.105458,51.522401
75,2025-03,0,0.0,0,0.0,11,192.0,144.0,1,2,4067.16197917632,-0.101845,51.522401
76,2025-03,0,2.5,-1,0.0,16,160.0,96.0,0,3,4186.612577165102,-0.098232,51.522401
77,2025-03,0,2.0,0,0.0,23,128.0,80.0,1,0,3842.531609910661,-0.094619,51.522401
78,2025-03,0,0.0,0,0.0,15,80.0,32.0,0,1,4804.3216936903855,-0.091006,51.522401
79,2025-03,0,0.0,0,0.0,8,16.0,48.0,3,2,3210.378683503154,-0.087394,51.522401
80,2025-03,0,0.0,0,0.0,0,32.0,80.0,2,0,4404.320766141274,-0.083781,51.522401
81,2025-03,0,0.0,0,0.0,0,32.0,64.0,0,2,4005.6885579557606,-0.080168,51.522401
82,2025-03,0,0.0,0,0.0,0,80.0,128.0,3,5,4126.597769491193,-0.076555,51.522401
83,2025-03,0,0.0,0,0.0,0,0.0,0.0,0,1,1782.1743899911505,-0.072942,51.522401
0,2025-04,0,0.0,0,0.0,4,0.0,16.0,0,0,486.3832898619621,-0.112683,51.508911
1,2025-04,0,0.0,0,0.0,11,224.0,112.0,0,0,1743.4436845976547,-0.10907,51.508911
2,2025-04,0,0.0,0,0.0,20,0.0,32.0,2,2,2882.081028394153,-0.105458,51.508911
3,2025-04,0,0.0,0,0.0,18,64.0,16.0,0,2,1767.4705532699345,-0.101845,51.508911
4,2025-04,0,0.0,0,0.0,21,64.0,16.0,0,0,1693.9325757767406,-0.098232,51.508911
5,2025-04,0,0.0,0,0.0,38,0.0,64.0,0,1,2117.5008513630705,-0.094619,51.508911
6,2025-04,0,11.667,6,0.333,34,0.0,0.0,2,0,1274.0807724673782,-0.091006,51.508911
7,2025-04,0,0.0,0,0.0,103,48.0,64.0,1,3,4077.1109004234677,-0.087394,51.508911
8,2025-04,0,8.0,3,0.0,84,0.0,16.0,1,0,3515.835855448563,-0.083781,51.508911
9,2025-04,1,9.667,1,0.333,100,64.0,240.0,4,2,4529.994665175652,-0.080168,51.508911
10,2025-04,0,1.667,1,0.0,53,64.0,16.0,0,5,4919.100496102833,-0.076555,51.508911
11,2025-04,0,0.0,0,0.0,36,0.0,80.0,1,1,4698.820840322538,-0.072942,51.508911
12,2025-04,0,0.0,0,0.0,11,16.0,32.0,0,3,3394.742433326478,-0.112683,51.511159
13,2025-04,0,3.333,1,0.0,25,0.0,16.0,0,2,2656.724682326329,-0.10907,51.511159
14,2025-04,0,6.0,5,0.0,56,0.0,32.0,0,3,5268.512014959823,-0.105458,51.511159
15,2025-04,0,7.667,5,0.0,50,32.0,48.0,0,4,5270.596898603702,-0.101845,51.511159
16,2025-04,0,2.0,0,0.0,83,16.0,64.0,0,2,4825.660292603709,-0.098232,51.511159
17,2025-04,0,4.667,10,0.0,93,16.0,96.0,1,3,5834.778735026155,-0.094619,51.511159
